# Version 1.00
#
freq[Hz] db:Trc4_S21 ang:Trc4_S21 
1.450000000000000E+009 -7.659998942619527E+000 7.957534628037091E+001 
1.466000000000000E+009 -7.852945942153424E+000 8.269854861375191E+001 
1.482000000000000E+009 -7.037390654819682E+000 8.375589055833571E+001 
1.498000000000000E+009 -6.643034519356575E+000 7.555216790797294E+001 
1.514000000000000E+009 -7.206704893477965E+000 6.720096785865684E+001 
1.530000000000000E+009 -7.732000782070498E+000 6.750886451267118E+001 
1.546000000000000E+009 -7.670582228291857E+000 6.755689286011712E+001 
1.562000000000000E+009 -7.138880550472182E+000 6.506768653567700E+001 
1.578000000000000E+009 -6.837265827069158E+000 6.091535394152199E+001 
1.594000000000000E+009 -7.610852667040519E+000 5.184434214537321E+001 
1.610000000000000E+009 -8.073889959868536E+000 5.598256435607613E+001 
1.626000000000000E+009 -7.883041895050392E+000 5.511804503416109E+001 
1.642000000000000E+009 -7.291120612777911E+000 5.108605401088779E+001 
1.658000000000000E+009 -7.416826430190626E+000 4.256849975969078E+001 
1.674000000000000E+009 -7.888587949665926E+000 3.862988203686676E+001 
1.690000000000000E+009 -8.310249976094035E+000 3.920745445666579E+001 
1.706000000000000E+009 -8.054466908984820E+000 4.029905215721023E+001 
1.722000000000000E+009 -7.407004421539152E+000 3.551517195767134E+001 
1.738000000000000E+009 -7.311460349052451E+000 2.861118575691221E+001 
1.754000000000000E+009 -7.878953691855524E+000 2.257043934567183E+001 
1.770000000000000E+009 -8.443681297873999E+000 2.436211348115439E+001 
1.786000000000000E+009 -8.226753439559630E+000 2.517244001664435E+001 
1.802000000000000E+009 -7.628250284145159E+000 2.091085228601521E+001 
1.818000000000000E+009 -7.615622387279575E+000 1.661731963000626E+001 
1.834000000000000E+009 -8.017870900951071E+000 1.120700891842635E+001 
1.850000000000000E+009 -8.301071048614224E+000 1.032465889514109E+001 
1.866000000000000E+009 -8.283289829234709E+000 7.499314308647494E+000 
1.882000000000000E+009 -7.989751619332853E+000 4.942656504663868E+000 
1.898000000000000E+009 -7.875541889533748E+000 1.811148438528135E+000 
1.914000000000000E+009 -8.043741979541487E+000 -3.090088164372137E+000 
1.930000000000000E+009 -8.342106690724348E+000 -3.420413118829051E+000 
1.946000000000000E+009 -8.288584800042678E+000 -5.357418147784590E+000 
1.962000000000000E+009 -8.026786958415963E+000 -9.044899333890232E+000 
1.978000000000000E+009 -8.013826017540367E+000 -1.238181588139466E+001 
1.994000000000000E+009 -8.256124875710647E+000 -1.592840506434494E+001 
2.010000000000000E+009 -8.395332135089680E+000 -1.772697266867946E+001 
2.026000000000000E+009 -8.327323523717604E+000 -1.895068890899130E+001 
2.042000000000000E+009 -7.977473201805726E+000 -2.365062174176806E+001 
2.058000000000000E+009 -7.954618518140976E+000 -2.878707807271338E+001 
2.074000000000000E+009 -8.267812739129274E+000 -3.095948516634654E+001 
2.090000000000000E+009 -8.550007265229718E+000 -3.011270624043249E+001 
2.106000000000000E+009 -8.380953704807222E+000 -3.166695173808267E+001 
2.122000000000000E+009 -7.938388230275685E+000 -3.547837262986912E+001 
2.138000000000000E+009 -7.864346107214978E+000 -4.013632030635256E+001 
2.154000000000000E+009 -8.092446160648235E+000 -4.637590075271343E+001 
2.170000000000000E+009 -8.525655282457473E+000 -4.804949899356041E+001 
2.186000000000000E+009 -8.354810847864965E+000 -4.941206597777134E+001 
2.202000000000000E+009 -8.068470273063486E+000 -4.877782487565993E+001 
2.218000000000000E+009 -7.899654452337257E+000 -5.636575520564222E+001 
2.234000000000000E+009 -8.040301985822419E+000 -5.836565968161401E+001 
2.250000000000000E+009 -8.309935748515231E+000 -6.041203871016443E+001 
2.266000000000000E+009 -8.396169469185434E+000 -6.172134426343884E+001 
2.282000000000000E+009 -8.228333074337595E+000 -6.203434898865464E+001 
2.298000000000000E+009 -7.954848890878279E+000 -6.877428058639288E+001 
2.314000000000000E+009 -8.044043939555815E+000 -7.460998605031067E+001 
2.330000000000000E+009 -8.242666550020648E+000 -7.734242120520926E+001 
2.346000000000000E+009 -8.275934027379790E+000 -7.817513413135337E+001 
2.362000000000000E+009 -8.173095865072735E+000 -8.130467745887788E+001 
2.378000000000000E+009 -8.096775531708140E+000 -8.533488383972295E+001 
2.394000000000000E+009 -8.283550170215886E+000 -8.612226504380956E+001 
2.410000000000000E+009 -8.233010537460581E+000 -8.913445918394886E+001 
2.426000000000000E+009 -8.194829334699616E+000 -9.403169217780510E+001 
2.442000000000000E+009 -7.896654107574158E+000 -9.672623230115748E+001 
2.458000000000000E+009 -7.975692362539567E+000 -1.024087737817456E+002 
2.474000000000000E+009 -8.335244988949722E+000 -1.051266017166961E+002 
2.490000000000000E+009 -8.386308073823408E+000 -1.027945291217505E+002 
2.506000000000000E+009 -8.192443739616664E+000 -1.056181379693099E+002 
2.522000000000000E+009 -7.895492781057881E+000 -1.097112057444680E+002 
2.538000000000000E+009 -7.895625547597940E+000 -1.149565280577300E+002 
2.554000000000000E+009 -8.149335650896129E+000 -1.207599225039649E+002 
2.570000000000000E+009 -8.424123969141263E+000 -1.195409208892255E+002 
2.586000000000000E+009 -8.272496952976368E+000 -1.196345297517064E+002 
2.602000000000000E+009 -7.958283156471709E+000 -1.239218245175493E+002 
2.618000000000000E+009 -7.744408331811429E+000 -1.261093696985634E+002 
2.634000000000000E+009 -7.905487469356632E+000 -1.319149848799567E+002 
2.650000000000000E+009 -8.142574784088202E+000 -1.352845779868798E+002 
2.666000000000000E+009 -8.211967090668285E+000 -1.370295522673611E+002 
2.682000000000000E+009 -8.119498137122422E+000 -1.373830082103750E+002 
2.698000000000000E+009 -7.843010941846810E+000 -1.418003786302211E+002 
2.714000000000000E+009 -7.882460263762503E+000 -1.451798041537720E+002 
2.730000000000000E+009 -7.901126044373438E+000 -1.479419397952418E+002 
2.746000000000000E+009 -7.943046416568218E+000 -1.537559000273611E+002 
2.762000000000000E+009 -7.954428437682736E+000 -1.562785087164445E+002 
2.778000000000000E+009 -7.941308300602622E+000 -1.581632148601771E+002 
2.794000000000000E+009 -7.953568068625299E+000 -1.576959749980427E+002 
2.810000000000000E+009 -7.831209696126444E+000 -1.605811460102371E+002 
2.826000000000000E+009 -7.616260406991955E+000 -1.622177356220772E+002 
2.842000000000000E+009 -7.407754546648787E+000 -1.706862782280854E+002 
2.858000000000000E+009 -7.763300261579627E+000 -1.723306922005864E+002 
2.874000000000000E+009 -8.032344911034601E+000 -1.750028566842465E+002 
2.890000000000000E+009 -8.014813208888999E+000 -1.755114322635778E+002 
2.906000000000000E+009 -7.551159856618492E+000 -1.752572024570185E+002 
2.922000000000000E+009 -7.010446854576709E+000 1.785086128918183E+002 
2.938000000000000E+009 -7.129624712186891E+000 1.732029656825936E+002 
2.954000000000000E+009 -7.694540245074989E+000 1.656191585038312E+002 
2.970000000000000E+009 -8.220232010751120E+000 1.648301710064854E+002 
2.986000000000000E+009 -7.853075599426705E+000 1.680212783004465E+002 
3.002000000000000E+009 -7.099745467520549E+000 1.668909477761473E+002 
3.018000000000000E+009 -6.738647445616142E+000 1.590670201143118E+002 
3.034000000000000E+009 -7.205429390741957E+000 1.510596141513537E+002 
3.050000000000000E+009 -7.855948917215193E+000 1.465981440358137E+002 
3.066000000000000E+009 -7.831313164598186E+000 1.506139140052462E+002 
3.082000000000000E+009 -7.258442332911838E+000 1.468642373732611E+002 
3.098000000000000E+009 -6.927827265080198E+000 1.432541354195313E+002 
3.114000000000000E+009 -7.023592022737820E+000 1.386990927840110E+002 
3.130000000000000E+009 -7.371139481929198E+000 1.365986209383124E+002 
3.146000000000000E+009 -7.275654692588783E+000 1.348943102392894E+002 
3.162000000000000E+009 -7.103352326397730E+000 1.292907200080598E+002 
3.178000000000000E+009 -7.101343165454848E+000 1.280553834494189E+002 
3.194000000000000E+009 -7.275735747388616E+000 1.249185478480358E+002 
3.210000000000000E+009 -7.078850895837103E+000 1.234143572540161E+002 
3.226000000000000E+009 -6.469878371701912E+000 1.215559288108833E+002 
3.242000000000000E+009 -6.498388498791401E+000 1.119620140080725E+002 
3.258000000000000E+009 -7.090599507319632E+000 1.062616983228649E+002 
3.274000000000000E+009 -7.699167123358680E+000 1.089811850179106E+002 
3.290000000000000E+009 -7.228376491911781E+000 1.100787392783982E+002 
3.306000000000000E+009 -6.180472302787333E+000 1.072639891341701E+002 
3.322000000000000E+009 -5.752864585974268E+000 9.506131364890324E+001 
3.338000000000000E+009 -6.569336974941583E+000 8.834474981490244E+001 
3.354000000000000E+009 -7.682795081444780E+000 8.920608178967736E+001 
3.370000000000000E+009 -7.548024798396138E+000 9.392793068788275E+001 
3.386000000000000E+009 -6.351723209415177E+000 9.219567668908894E+001 
3.402000000000000E+009 -5.732809349220444E+000 8.424785767919366E+001 
3.418000000000000E+009 -6.325613510880634E+000 7.506677878688491E+001 
3.434000000000000E+009 -7.177876794603318E+000 7.357555548895756E+001 
3.450000000000000E+009 -7.121963422482255E+000 7.621484647261624E+001 
3.466000000000000E+009 -6.320204456898352E+000 7.155895457810354E+001 
3.482000000000000E+009 -6.031704562282050E+000 6.434951728632299E+001 
3.498000000000000E+009 -6.520276664169147E+000 6.009979673722443E+001 
3.514000000000000E+009 -6.776091106956482E+000 5.858999950673352E+001 
3.530000000000000E+009 -6.270562682287805E+000 5.873782439720378E+001 
3.546000000000000E+009 -5.782840261835958E+000 5.098682752298625E+001 
3.562000000000000E+009 -6.435998333584315E+000 4.367623892134448E+001 
3.578000000000000E+009 -7.320275112864669E+000 4.334777012609372E+001 
3.594000000000000E+009 -7.052307239564551E+000 4.599336122949977E+001 
3.610000000000000E+009 -5.811411389343463E+000 4.456631772123047E+001 
3.626000000000000E+009 -5.179752602122773E+000 3.297355751881111E+001 
3.642000000000000E+009 -6.283148236870042E+000 2.092024148069655E+001 
3.658000000000000E+009 -7.613272097523109E+000 2.141602888925896E+001 
3.674000000000000E+009 -7.461173062470778E+000 2.980478690855665E+001 
3.690000000000000E+009 -5.912984355939165E+000 2.674773435648393E+001 
3.706000000000000E+009 -5.191707041770970E+000 1.629936502696657E+001 
3.722000000000000E+009 -6.176997561917023E+000 6.007063508417203E+000 
3.738000000000000E+009 -7.499992751733160E+000 5.203029684938291E+000 
3.754000000000000E+009 -7.602657940854116E+000 9.611763712401688E+000 
3.770000000000000E+009 -6.642734368099379E+000 9.026776898962902E+000 
3.786000000000000E+009 -5.935649786546390E+000 -6.354277983015039E-001 
3.802000000000000E+009 -6.362066881541568E+000 -7.514655080087886E+000 
3.818000000000000E+009 -6.964559014644783E+000 -1.107031875480725E+001 
3.834000000000000E+009 -6.927123828164242E+000 -1.217440877380533E+001 
3.850000000000000E+009 -6.865840005431036E+000 -1.341396134676035E+001 
3.866000000000000E+009 -7.048429151054431E+000 -1.977673819907806E+001 
3.882000000000000E+009 -7.300290245219898E+000 -2.346474235856043E+001 
3.898000000000000E+009 -7.234070573282780E+000 -2.186036164037368E+001 
3.914000000000000E+009 -6.555777662734753E+000 -2.642751481820510E+001 
3.930000000000000E+009 -6.910699905941666E+000 -3.744399088411987E+001 
3.946000000000000E+009 -7.876733853216234E+000 -4.134809206916614E+001 
3.962000000000000E+009 -8.644036801963861E+000 -3.650886145770276E+001 
3.978000000000000E+009 -8.027325553092005E+000 -3.612870397495748E+001 
3.994000000000000E+009 -7.040562207385177E+000 -4.154039368218729E+001 
4.010000000000000E+009 -7.074723248998967E+000 -5.055778461048160E+001 
4.026000000000000E+009 -8.318045477114989E+000 -5.584798167972428E+001 
4.042000000000000E+009 -9.076327051278817E+000 -5.522270743508118E+001 
4.058000000000000E+009 -8.888872299893587E+000 -5.213404573394300E+001 
4.074000000000000E+009 -8.022889703562798E+000 -5.659066858435104E+001 
4.090000000000000E+009 -7.883468788958465E+000 -6.230256268729642E+001 
4.106000000000000E+009 -8.377319201939692E+000 -6.779300840833506E+001 
4.122000000000000E+009 -8.975178500278007E+000 -6.588686687696503E+001 
4.138000000000000E+009 -8.822190970835202E+000 -6.939439654179036E+001 
4.154000000000000E+009 -8.853419712673146E+000 -7.045518535574992E+001 
4.170000000000000E+009 -8.950981310638346E+000 -7.256927365924251E+001 
4.186000000000000E+009 -8.924916281219240E+000 -7.454814531418873E+001 
4.202000000000000E+009 -8.656310996889793E+000 -7.864661777082104E+001 
4.218000000000000E+009 -8.564629789844934E+000 -8.141710152810354E+001 
4.234000000000000E+009 -9.174945707979774E+000 -8.551660779892899E+001 
4.250000000000000E+009 -9.368790879579501E+000 -8.575163589692873E+001 
4.266000000000000E+009 -9.176517013430384E+000 -8.369777403328460E+001 
4.282000000000000E+009 -8.487041940538596E+000 -8.478380541662473E+001 
4.298000000000000E+009 -8.195410121439686E+000 -9.223691958197286E+001 
4.314000000000000E+009 -8.721550827661158E+000 -9.776175203767954E+001 
4.330000000000000E+009 -9.161225675473775E+000 -9.831592981036367E+001 
4.346000000000000E+009 -8.794382167087283E+000 -9.468519190451812E+001 
4.362000000000000E+009 -8.168748766645782E+000 -9.736116974590425E+001 
4.378000000000000E+009 -7.841916093978530E+000 -1.038541805294897E+002 
4.394000000000000E+009 -8.111489658920926E+000 -1.100737048842414E+002 
4.410000000000000E+009 -8.436488223419108E+000 -1.083619022791496E+002 
4.426000000000000E+009 -8.073371052022630E+000 -1.106549849973829E+002 
4.442000000000000E+009 -7.510184865323716E+000 -1.130440295344820E+002 
4.458000000000000E+009 -7.303211927951067E+000 -1.193754188541068E+002 
4.474000000000000E+009 -7.467725859370325E+000 -1.189556258612632E+002 
4.490000000000000E+009 -7.386755098530779E+000 -1.227514931396738E+002 
4.506000000000000E+009 -6.859303174908279E+000 -1.258982305669570E+002 
4.522000000000000E+009 -6.616116115084053E+000 -1.317226398442851E+002 
4.538000000000000E+009 -6.675957898323556E+000 -1.343445820110651E+002 
4.554000000000000E+009 -6.715889810963482E+000 -1.383269467990398E+002 
4.570000000000000E+009 -6.480812531233935E+000 -1.388440936388664E+002 
4.586000000000000E+009 -5.931689448920038E+000 -1.425655510516278E+002 
4.602000000000000E+009 -5.713776674372604E+000 -1.476470029750009E+002 
4.618000000000000E+009 -5.855072268095908E+000 -1.542363700211866E+002 
4.634000000000000E+009 -5.889429902775843E+000 -1.574247387987670E+002 
4.650000000000000E+009 -5.797180323949442E+000 -1.593225444802469E+002 
