# Version 1.00
#
freq[Hz] db:Trc4_S21 ang:Trc4_S21 
1.450000000000000E+009 -7.384756110006112E+000 6.615383099663896E+001 
1.466000000000000E+009 -7.439815602508788E+000 6.977745591066592E+001 
1.482000000000000E+009 -6.507996653398815E+000 6.764173666329756E+001 
1.498000000000000E+009 -6.311521641036170E+000 5.796743318359744E+001 
1.514000000000000E+009 -6.997863260617566E+000 5.152556106992520E+001 
1.530000000000000E+009 -7.578636277505360E+000 4.963822846576532E+001 
1.546000000000000E+009 -7.280221390395712E+000 5.143281873876533E+001 
1.562000000000000E+009 -6.807428407330484E+000 4.765081256865472E+001 
1.578000000000000E+009 -6.697904037124586E+000 4.079857976238732E+001 
1.594000000000000E+009 -7.497542491224439E+000 3.594501638228992E+001 
1.610000000000000E+009 -7.820304842727849E+000 3.825903908344059E+001 
1.626000000000000E+009 -7.574461295780015E+000 3.927860460517294E+001 
1.642000000000000E+009 -7.033733694958362E+000 3.199746574281131E+001 
1.658000000000000E+009 -7.388346989212056E+000 2.484789391280461E+001 
1.674000000000000E+009 -7.953050091897731E+000 2.099873222878050E+001 
1.690000000000000E+009 -8.268657927012917E+000 2.247419348619867E+001 
1.706000000000000E+009 -7.773759552912019E+000 2.319986466559681E+001 
1.722000000000000E+009 -7.201998308283752E+000 1.832222702013760E+001 
1.738000000000000E+009 -7.329697569394098E+000 1.015713443357796E+001 
1.754000000000000E+009 -8.125112659052260E+000 4.934823575729930E+000 
1.770000000000000E+009 -8.589845201179671E+000 5.974192746526749E+000 
1.786000000000000E+009 -8.134212955232041E+000 6.099889929184116E+000 
1.802000000000000E+009 -7.596454953747112E+000 2.179790502414748E+000 
1.818000000000000E+009 -7.708182765619251E+000 -1.404243051074779E+000 
1.834000000000000E+009 -8.247645831416239E+000 -8.331316071773678E+000 
1.850000000000000E+009 -8.529292934237207E+000 -8.343450055289225E+000 
1.866000000000000E+009 -8.387723301326414E+000 -1.071340731183853E+001 
1.882000000000000E+009 -8.059711544295725E+000 -1.280320994394800E+001 
1.898000000000000E+009 -8.140675384163496E+000 -1.898391416252681E+001 
1.914000000000000E+009 -8.362995546924315E+000 -2.227266512864424E+001 
1.930000000000000E+009 -8.662015462839163E+000 -2.219132313013822E+001 
1.946000000000000E+009 -8.510838603442773E+000 -2.477806791366509E+001 
1.962000000000000E+009 -8.262721009871108E+000 -2.647475319776275E+001 
1.978000000000000E+009 -8.383825455679482E+000 -3.149805953037793E+001 
1.994000000000000E+009 -8.651643240040535E+000 -3.660629462930900E+001 
2.010000000000000E+009 -8.814066730193053E+000 -3.554973198274650E+001 
2.026000000000000E+009 -8.662784657561815E+000 -3.655136892184788E+001 
2.042000000000000E+009 -8.331285818287336E+000 -4.343135287897623E+001 
2.058000000000000E+009 -8.438577521155843E+000 -4.828321481067095E+001 
2.074000000000000E+009 -8.906269261043896E+000 -5.058813872401381E+001 
2.090000000000000E+009 -9.127045485854476E+000 -4.757886417534719E+001 
2.106000000000000E+009 -8.780686609276200E+000 -4.950185955255558E+001 
2.122000000000000E+009 -8.309746036327791E+000 -5.508100879511095E+001 
2.138000000000000E+009 -8.410650211225658E+000 -6.131610016602089E+001 
2.154000000000000E+009 -8.834166606226773E+000 -6.379346710377656E+001 
2.170000000000000E+009 -9.249908124169794E+000 -6.375544050825188E+001 
2.186000000000000E+009 -8.866010287432607E+000 -6.708018988840676E+001 
2.202000000000000E+009 -8.446007377194237E+000 -6.615901854041313E+001 
2.218000000000000E+009 -8.367711869628774E+000 -7.334266601323424E+001 
2.234000000000000E+009 -8.729549303846708E+000 -7.730555574426209E+001 
2.250000000000000E+009 -9.024566860451937E+000 -7.962010771689442E+001 
2.266000000000000E+009 -8.906843016392079E+000 -7.843542786931390E+001 
2.282000000000000E+009 -8.448336988659031E+000 -7.937292485752640E+001 
2.298000000000000E+009 -8.235697502689600E+000 -8.589513198053096E+001 
2.314000000000000E+009 -8.517562147607565E+000 -9.150472644386575E+001 
2.330000000000000E+009 -8.758017750814782E+000 -9.211770912341966E+001 
2.346000000000000E+009 -8.585867951653585E+000 -9.306338076812159E+001 
2.362000000000000E+009 -8.468158593096902E+000 -9.498220248796201E+001 
2.378000000000000E+009 -8.451409677315862E+000 -1.030393234036728E+002 
2.394000000000000E+009 -8.601767058223553E+000 -1.033048734702474E+002 
2.410000000000000E+009 -8.395311105800335E+000 -1.055179370669053E+002 
2.426000000000000E+009 -8.169026768120755E+000 -1.079114241041914E+002 
2.442000000000000E+009 -7.934251173621599E+000 -1.133436583975384E+002 
2.458000000000000E+009 -8.174504266507290E+000 -1.179564758298314E+002 
2.474000000000000E+009 -8.514928563963842E+000 -1.193156405164839E+002 
2.490000000000000E+009 -8.177006556237760E+000 -1.175284387307327E+002 
2.506000000000000E+009 -7.811138920778630E+000 -1.214524253767768E+002 
2.522000000000000E+009 -7.628621549571945E+000 -1.277421792030702E+002 
2.538000000000000E+009 -7.841704742912738E+000 -1.324256205941313E+002 
2.554000000000000E+009 -8.235256342462805E+000 -1.350658356712074E+002 
