# Version 1.00
#
freq[Hz] db:Trc4_S11 ang:Trc4_S11 
1.450000000000000E+009 -1.977096797749128E+001 6.734008725824339E+001 
1.466000000000000E+009 -1.857480335986839E+001 6.220026017585431E+001 
1.482000000000000E+009 -1.957861914884594E+001 4.511017295557758E+001 
1.498000000000000E+009 -1.847549142511126E+001 4.504377235812130E+001 
1.514000000000000E+009 -1.990893839745456E+001 4.175051998221049E+001 
1.530000000000000E+009 -1.815516570083251E+001 3.490461149342786E+001 
1.546000000000000E+009 -1.801386379986060E+001 3.561915373343945E+001 
1.562000000000000E+009 -1.809094666926894E+001 2.715518664446928E+001 
1.578000000000000E+009 -1.747933455690977E+001 2.209225328559277E+001 
1.594000000000000E+009 -1.783764256412420E+001 1.305591316475183E+001 
1.610000000000000E+009 -1.622191577816917E+001 1.058647706363450E+001 
1.626000000000000E+009 -1.810992472106879E+001 3.667900605452145E+000 
1.642000000000000E+009 -1.809805220248500E+001 -1.831117478791666E+000 
1.658000000000000E+009 -1.969552770510455E+001 -3.942464742702049E+000 
1.674000000000000E+009 -1.771166413966073E+001 -2.156844691322748E+001 
1.690000000000000E+009 -1.701685696735801E+001 -1.935070385291127E+001 
1.706000000000000E+009 -1.778158366862169E+001 -1.734367273870309E+001 
1.722000000000000E+009 -1.728221527040636E+001 -2.578189738095032E+001 
1.738000000000000E+009 -1.701845412581524E+001 -2.917053936373896E+001 
1.754000000000000E+009 -1.663051520727250E+001 -3.429153656492032E+001 
1.770000000000000E+009 -1.770482816690431E+001 -4.534511216420498E+001 
1.786000000000000E+009 -1.673925835953149E+001 -4.600106656024915E+001 
1.802000000000000E+009 -1.715325693153173E+001 -5.363812379856204E+001 
1.818000000000000E+009 -1.628567572238429E+001 -5.176853160223492E+001 
1.834000000000000E+009 -1.654445032568782E+001 -6.307402270320484E+001 
1.850000000000000E+009 -1.671099248491386E+001 -6.171093065707255E+001 
1.866000000000000E+009 -1.691729340197306E+001 -7.189850174598197E+001 
1.882000000000000E+009 -1.627104523957961E+001 -7.895783425627762E+001 
1.898000000000000E+009 -1.679486717771105E+001 -8.048882202583840E+001 
1.914000000000000E+009 -1.753779702827461E+001 -8.607675698126083E+001 
1.930000000000000E+009 -1.712352939017099E+001 -9.241283150026062E+001 
1.946000000000000E+009 -1.618146047214081E+001 -9.183634388144849E+001 
1.962000000000000E+009 -1.776411367151105E+001 -9.917001469412880E+001 
1.978000000000000E+009 -1.590290697533269E+001 -9.888096404624089E+001 
1.994000000000000E+009 -1.724295583531973E+001 -1.060329370895466E+002 
2.010000000000000E+009 -1.771073701511726E+001 -1.137907833205727E+002 
2.026000000000000E+009 -1.694623435678386E+001 -1.150215529845481E+002 
2.042000000000000E+009 -1.767496312245510E+001 -1.196659028257341E+002 
2.058000000000000E+009 -1.839732730865854E+001 -1.254968271986673E+002 
2.074000000000000E+009 -1.756420551823796E+001 -1.302232687447143E+002 
2.090000000000000E+009 -1.694889463520595E+001 -1.345722570535036E+002 
2.106000000000000E+009 -1.647024804527098E+001 -1.372685225105258E+002 
2.122000000000000E+009 -1.818526658370908E+001 -1.444094463155704E+002 
2.138000000000000E+009 -1.701210573700710E+001 -1.465213746530118E+002 
2.154000000000000E+009 -1.765937671822829E+001 -1.465315258256205E+002 
2.170000000000000E+009 -1.797855824768529E+001 -1.483048475008550E+002 
2.186000000000000E+009 -1.837609988486167E+001 -1.600091761231263E+002 
2.202000000000000E+009 -1.757345414950240E+001 -1.597545674492887E+002 
2.218000000000000E+009 -1.818141140127329E+001 -1.601418828916094E+002 
2.234000000000000E+009 -1.822469801645331E+001 -1.675550861252490E+002 
2.250000000000000E+009 -1.874871814850832E+001 -1.737415102437379E+002 
2.266000000000000E+009 -1.863651908681827E+001 1.791973235783394E+002 
2.282000000000000E+009 -1.797544201932136E+001 1.721594042985346E+002 
2.298000000000000E+009 -1.848787671982621E+001 1.747440605860751E+002 
2.314000000000000E+009 -1.913971291707450E+001 1.728835725045153E+002 
2.330000000000000E+009 -1.981906126034071E+001 1.637101990305565E+002 
2.346000000000000E+009 -2.052381324470460E+001 1.649274217909426E+002 
2.362000000000000E+009 -1.961119259960156E+001 1.683222330363711E+002 
2.378000000000000E+009 -2.131824963907145E+001 1.612738742301466E+002 
2.394000000000000E+009 -2.026227121679817E+001 1.659110534118525E+002 
2.410000000000000E+009 -2.144852957452596E+001 1.546871659000130E+002 
2.426000000000000E+009 -2.307872445862215E+001 1.503289150558782E+002 
2.442000000000000E+009 -2.203197281003637E+001 1.459467482912704E+002 
2.458000000000000E+009 -2.119995291031774E+001 1.416593172150962E+002 
2.474000000000000E+009 -2.288017386745106E+001 1.330361024810674E+002 
2.490000000000000E+009 -2.163725066813252E+001 1.399384334016333E+002 
2.506000000000000E+009 -2.149523573454395E+001 1.338653358921452E+002 
2.522000000000000E+009 -2.315433338886371E+001 1.350804467480935E+002 
2.538000000000000E+009 -2.477313011902983E+001 1.245775975623968E+002 
2.554000000000000E+009 -2.263982773315280E+001 1.248055302912118E+002 
2.570000000000000E+009 -2.375336472031851E+001 1.261153498497978E+002 
2.586000000000000E+009 -2.587713661629466E+001 1.101912060123289E+002 
2.602000000000000E+009 -2.497180594900670E+001 1.125038136148562E+002 
2.618000000000000E+009 -2.484958409968644E+001 1.200607426300708E+002 
2.634000000000000E+009 -2.714129876557856E+001 1.324385472393059E+002 
2.650000000000000E+009 -2.762432321229608E+001 9.951212154029855E+001 
2.666000000000000E+009 -2.810868852741890E+001 1.200013472048638E+002 
2.682000000000000E+009 -2.631460404983842E+001 1.190904633940713E+002 
2.698000000000000E+009 -2.605559982072620E+001 1.060398643505927E+002 
2.714000000000000E+009 -3.047597998105857E+001 1.254471930567537E+002 
2.730000000000000E+009 -3.071226073092650E+001 1.182741243865970E+002 
2.746000000000000E+009 -2.943087181251173E+001 9.794249848422231E+001 
2.762000000000000E+009 -3.104749052172346E+001 7.750496071865850E+001 
2.778000000000000E+009 -3.500410914505395E+001 9.035400140633421E+001 
2.794000000000000E+009 -2.854114139633886E+001 1.229897840047351E+002 
2.810000000000000E+009 -3.097394347093290E+001 8.716708642583647E+001 
2.826000000000000E+009 -3.524340318833612E+001 1.059885311855424E+002 
2.842000000000000E+009 -2.989886513645171E+001 9.065074388885314E+001 
