# Version 1.00
#
freq[Hz] db:Trc4_S21 ang:Trc4_S21 
1.450000000000000E+009 -7.784154749500499E+000 6.948002957503019E+001 
1.466000000000000E+009 -7.399692893906157E+000 7.138740099525334E+001 
1.482000000000000E+009 -6.650994283379625E+000 6.654540567161432E+001 
1.498000000000000E+009 -6.741622580745497E+000 5.899024401790113E+001 
1.514000000000000E+009 -7.510429608952866E+000 5.338009547459159E+001 
1.530000000000000E+009 -7.779332779726884E+000 5.445296514882248E+001 
1.546000000000000E+009 -7.239696650515126E+000 5.457499294799487E+001 
1.562000000000000E+009 -7.000300431110432E+000 4.932534485822740E+001 
1.578000000000000E+009 -7.118125134781487E+000 4.363989632554122E+001 
1.594000000000000E+009 -7.762927876533729E+000 3.921530862199083E+001 
1.610000000000000E+009 -7.693605863086461E+000 4.339046482591846E+001 
1.626000000000000E+009 -7.366272321161213E+000 4.204916668457992E+001 
1.642000000000000E+009 -7.015901268895285E+000 3.438401840843615E+001 
1.658000000000000E+009 -7.634211155244540E+000 2.823811326693109E+001 
1.674000000000000E+009 -8.105655163249480E+000 2.497417769579768E+001 
1.690000000000000E+009 -7.976504666094860E+000 2.687925946202054E+001 
1.706000000000000E+009 -7.286910751899751E+000 2.528183091088000E+001 
1.722000000000000E+009 -7.014757872096369E+000 1.854414758526491E+001 
1.738000000000000E+009 -7.321266050558802E+000 1.502153198242403E+001 
1.754000000000000E+009 -8.077339734895498E+000 1.119018458001286E+001 
1.770000000000000E+009 -8.086324533425705E+000 1.279527597758889E+001 
1.786000000000000E+009 -7.286773051932957E+000 1.147013017609397E+001 
1.802000000000000E+009 -7.065191597748278E+000 4.446163564451246E+000 
1.818000000000000E+009 -7.385485048350509E+000 1.720962531219035E+000 
1.834000000000000E+009 -7.775826265372714E+000 -1.269193915449716E+000 
1.850000000000000E+009 -7.696461541250606E+000 -1.607758425904464E+000 
1.866000000000000E+009 -7.323824901295165E+000 -4.381400440635232E+000 
1.882000000000000E+009 -7.098367489718688E+000 -9.245468635431449E+000 
1.898000000000000E+009 -7.329995742076733E+000 -1.491241511482726E+001 
1.914000000000000E+009 -7.424790249917168E+000 -1.647196702676262E+001 
1.930000000000000E+009 -7.390915704528789E+000 -1.806408604014415E+001 
1.946000000000000E+009 -7.093474149446982E+000 -2.026463766987718E+001 
1.962000000000000E+009 -6.895131728913680E+000 -2.333455941644482E+001 
